#,This,file,was,produced,by,the,NASA,Exoplanet,Archive,,http://exoplanetarchive.ipac.caltech.edu,
#,Sun,Sep,19,09:21:02,2021,,,,,,,
#,,,,,,,,,,,,
#,User,ID:,,,,,,,,,clebersilva,
#,,,,,,,,,,,,
#,User,preference:,archive,defaults,,,,,,,,
#,,,,,,,,,,,,
#,COLUMN,kepid:,,,,,,,,,,KepID
#,COLUMN,tce_plnt_num:,,,Planet,Number,,,,,,
#,COLUMN,tcet_period:,,,,Orbital,Period,[days],,,,
#,COLUMN,tcet_period_err:,Orbital,Period,Unc.,[days],,,,,,
#,COLUMN,tcet_time0bk:,,,Transit,Epoch,[BKJD],,,,,
#,COLUMN,tcet_time0bk_err:,Transit,Epoch,Unc.,[BKJD],,,,,,
#,COLUMN,tcet_duration:,,Transit,Duration,[hrs],,,,,,
#,COLUMN,tcet_duration_err:,Transit,Duration,Unc.,[hrs],,,,,,
#,COLUMN,av_training_set:,Autovetter,Training,Set,Label,,,,,,
#,,,,,,,,,,,,
rowid,kepid,tce_plnt_num,tce_period,tce_period_err,tce_time0bk,tce_time0bk_err,tce_duration,tce_duration_err,av_training_set,,,
116,2985767,1,14.079700,2.574140000e-05,139958,1.606940000e-03,1.4400,2.1670000e-01,PC,,,
117,2988145,3,1.788350,3.626240000e-05,133328,1.173280000e-02,4.3790,1.4080000e-01,UNK,,,
118,2988768,1,459.312000,5.902020000e-03,260216,8.437770000e-03,3.7970,6.9070000e-01,NTP,,,
119,2988783,1,0.766194,7.396770000e-06,131777,1.400380000e-03,1.9180,2.9810000e-01,UNK,,,
120,2989404,1,3.553820,4.017210000e-06,134644,7.385630000e-04,3.0360,3.8460000e-02,PC,,,
121,1293379,1,27.555700,8.680050000e-04,132201,2.771560000e-02,9.5140,3.0190000e+00,UNK,,,
122,1294670,1,0.593624,9.696100000e-06,131759,4.097060000e-03,1.8550,6.2540000e+00,AFP,,,
123,1294670,2,0.593647,9.898730000e-06,132050,2.866450000e-03,2.3180,3.4750000e+00,AFP,,,
124,1294756,1,0.530250,1.108390000e-05,131971,3.084360000e-03,2.7500,3.8630000e+00,UNK,,,
125,1575977,2,1.088680,1.193080000e-05,131724,1.767640000e-03,3.3850,1.2920000e+00,UNK,,,
126,1575977,3,0.693727,0.000000000e+00,131803,0.000000000e+00,2.5000,0.0000000e+00,UNK,,,
127,1576115,1,5.443170,8.651960000e-05,135635,1.299120000e-02,7.4160,2.8970000e-01,UNK,,,
128,1576115,2,1.814410,2.404690000e-05,132603,9.752460000e-03,3.3150,9.7730000e-01,AFP,,,
129,1866252,1,0.700471,1.972680000e-05,132170,4.062310000e-03,1.3160,3.7770000e-01,UNK,,,
130,1867078,1,620.929000,2.478590000e-02,349558,4.268930000e-02,41.6700,1.0680000e+01,UNK,,,
131,1867630,1,1.389530,6.460640000e-05,131995,1.976910000e-02,6.1440,4.4990000e+01,NTP,,,
132,1868918,1,0.583637,1.644930000e-05,131876,4.028970000e-03,1.8260,8.3130000e-01,UNK,,,
133,2019477,2,20.571500,4.163350000e-04,149246,1.725890000e-02,14.5000,5.4420000e-01,PC,,,
134,2019477,3,1.511000,1.705250000e-05,132128,6.019790000e-03,6.1550,7.3550000e+00,UNK,,,
135,2019477,4,3.022130,5.745100000e-05,134327,1.259890000e-02,9.0400,8.1700000e+00,NTP,,,
136,2020444,1,0.506371,1.023260000e-05,132001,1.216740000e-03,1.7360,9.4750000e-01,UNK,,,
137,2167783,2,0.516584,1.152400000e-05,131698,1.867310000e-03,1.6810,1.0270000e+00,UNK,,,
138,2167890,1,2.648290,3.225530000e-07,133038,6.452290000e-05,2.6490,5.9470000e-03,AFP,,,
139,2167890,2,2.648280,3.088820000e-06,131718,4.730740000e-04,1.9160,1.0300000e-01,AFP,,,
140,2168333,1,0.596465,8.746960000e-06,131901,2.019340000e-03,2.0000,9.8100000e-01,UNK,,,
141,2307206,1,204.029000,0.000000000e+00,253540,0.000000000e+00,10.5000,0.0000000e+00,AFP,,,
142,2307206,2,204.033000,6.124160000e-05,152963,2.821390000e-04,11.6900,3.0640000e-02,AFP,,,
143,2307415,1,4.612640,1.081270000e-05,132782,1.683630000e-03,3.0750,9.5460000e-02,PC,,,
144,2307415,2,13.121600,4.159480000e-05,133394,2.564630000e-03,3.5040,1.8790000e-01,PC,,,
145,2440757,1,2.867510,3.432750000e-06,131696,5.562770000e-04,0.9959,6.9510000e-02,AFP,,,
146,2440757,2,2.867500,7.270710000e-06,133132,1.012120000e-03,0.7864,3.2000000e-01,AFP,,,
147,2441151,1,2.191990,1.817010000e-06,132220,4.341410000e-04,2.2730,4.6650000e-02,AFP,,,
148,2441161,1,2.192020,1.878790000e-07,132212,5.409260000e-05,3.0170,5.2470000e-03,AFP,,,
149,2556639,1,2.481270,3.774400000e-05,132978,1.101470000e-02,6.5550,2.2770000e-01,UNK,,,
150,2556650,1,2.852360,3.016750000e-06,132043,4.276430000e-04,0.8872,1.8160000e-01,PC,,,
151,2557335,1,0.520070,9.549860000e-06,131850,5.781080000e-03,1.3660,6.2010000e-01,UNK,,,
152,2557335,2,0.583008,0.000000000e+00,131986,0.000000000e+00,1.5000,0.0000000e+00,UNK,,,
153,2578404,1,0.872278,4.338840000e-06,132028,2.096040000e-03,4.3170,6.2960000e+00,AFP,,,
154,2578404,2,0.872247,7.684330000e-06,132266,8.427960000e-03,3.1710,5.1200000e-01,AFP,,,
155,2578404,3,0.595526,0.000000000e+00,131927,0.000000000e+00,1.5000,0.0000000e+00,UNK,,,
156,2578811,1,6.209720,3.086290000e-05,135254,3.700190000e-03,2.7680,1.3140000e-01,NTP,,,
157,2578891,1,2.327280,1.310930000e-05,132235,3.035940000e-03,3.1820,1.9230000e-01,NTP,,,
158,2693450,2,0.847666,1.397260000e-05,132188,5.134510000e-03,2.8750,7.5360000e+00,AFP,,,
159,2693736,1,12.124000,3.125880000e-05,134956,2.143250000e-03,3.3070,4.3400000e-01,PC,,,
160,2694337,1,0.812927,9.468290000e-05,131928,2.986450000e-02,2.1770,2.6000000e+00,AFP,,,
161,2694337,2,0.812865,9.165130000e-05,132269,8.645250000e-02,6.1510,1.1110000e+02,AFP,,,
162,2715053,1,0.968256,1.220400000e-05,131505,4.544670000e-03,4.5100,1.0030000e+01,AFP,,,
163,2715113,1,0.968253,1.150460000e-05,132441,4.898480000e-03,5.0390,1.7120000e+01,AFP,,,
164,2715119,1,0.968286,1.085340000e-05,132454,3.876060000e-03,3.5610,3.2560000e+00,AFP,,,
165,2715135,1,5.747720,5.860740000e-06,133298,7.255200000e-04,1.8840,7.7320000e-02,PC,,,
166,2830919,1,1.540390,9.233080000e-06,132005,2.405190000e-03,1.8760,1.3200000e-01,AFP,,,
167,2831048,1,497.660000,1.789880000e-02,186989,2.319780000e-02,25.7700,1.8860000e+00,UNK,,,
168,2831055,1,2.209250,1.180470000e-05,131901,2.959930000e-03,2.6070,1.4400000e-01,PC,,,
169,2831097,1,0.931998,1.347680000e-05,132344,1.584660000e-03,1.3710,6.0280000e-02,UNK,,,
170,2854927,1,6.593800,2.475810000e-04,134682,3.086570000e-02,12.7100,3.1790000e+00,UNK,,,
171,2854948,1,0.974299,3.117550000e-06,132386,4.652910000e-04,0.9358,9.3410000e-02,NTP,,,
172,2854953,1,0.862334,3.039310000e-05,131847,1.097860000e-02,2.4310,2.7310000e+00,UNK,,,
173,2854953,2,1.724800,1.805510000e-05,133144,5.227810000e-03,3.7160,3.1170000e+00,NTP,,,
174,1295289,1,459.319000,1.153730000e-02,260207,1.834090000e-02,3.9500,1.5250000e+00,NTP,,,
175,1295546,1,1.964430,3.978320000e-05,133301,9.761750000e-03,3.7230,4.6570000e+00,AFP,,,
176,1295546,2,1.964490,9.790600000e-05,132233,2.496590000e-02,11.4100,6.3770000e+01,AFP,,,
177,1296164,1,1.967860,2.722980000e-02,132225,3.143550000e+00,0.5097,8.3550000e+01,AFP,,,
